"Tursan";"2012";"20";"AOC-AOP"
"Tursan";"2013";"20";"AOC-AOP"
"Chateau Neuf du Pape";"2010";"40";"AOC-AOP"
"Chateau Neuf du Pape";"2011";"70";"AOC-AOP"
"Chateau Neuf du Pape";"2012";"40";"AOC-AOP"
"Chateau Neuf du Pape";"2013";"20";"AOC-AOP"
"Luberon";"2013";"5";"AOC-AOP"
"Ventoux";"2013";"5";"AOC-AOP"
"Cornas";"2010";"40";"AOC-AOP"
"Cornas";"2011";"70";"AOC-AOP"
"Cornas";"2012";"40";"AOC-AOP"
"Cornas";"2013";"20";"AOC-AOP"
"Collioure";"2010";"30";"AOC-AOP"
"Collioure";"2011";"200";"AOC-AOP"
"Collioure";"2012";"40";"AOC-AOP"
"Collioure";"2013";"30";"AOC-AOP"
"Arbois";"2010";"50";"AOC-AOP"
"Arbois";"2011";"70";"AOC-AOP"
"Arbois";"2012";"20";"AOC-AOP"
"Arbois";"2013";"20";"AOC-AOP"
"Cotes du Rhone";"2010";"40";"AOC-AOP"
"Cotes du Rhone";"2011";"70";"AOC-AOP"
"Cotes du Rhone";"2012";"40";"AOC-AOP"
"Cotes du Rhone";"2013";"30";"AOC-AOP"
"Banyuls";"2010";"30";"AOC-AOP"
"Banyuls";"2011";"50";"AOC-AOP"
"Banyuls";"2012";"40";"AOC-AOP"
"Banyuls";"2013";"30";"AOC-AOP"
"Alpilles";"2013";"5";"IGP"
"Ajaccio";"2010";"40";"AOC-AOP"
"Ajaccio";"2011";"30";"AOC-AOP"
"Ajaccio";"2012";"20";"AOC-AOP"
"Ajaccio";"2013";"20";"AOC-AOP"
"Sartene";"2013";"5";"AOC-AOP"
"Figari";"2013";"5";"AOC-AOP"
"Calvi";"2013";"5";"AOC-AOP"
"Gers";"2013";"5";"IGP"
"Cotes de Provence";"2010";"40";"AOC-AOP"
"Cotes de Provence";"2011";"20";"AOC-AOP"
"Cotes de Provence";"2012";"20";"AOC-AOP"
"Cotes de Provence";"2013";"20";"AOC-AOP"
